Mês,Dia,Leitura
JANEIRO,01,Gênesis 1-3
JANEIRO,02,Gênesis 4-7
JANEIRO,03,Gênesis 8-11
JANEIRO,04,Jó 1
JANEIRO,05,Jó 6-9
JANEIRO,06,Jó 10-13
JANEIRO,07,Jó 14-16
JANEIRO,08,Jó 17-20
JANEIRO,09,Jó 21-23
JANEIRO,10,Jó 24-28
JANEIRO,11,Jó 29-31
JANEIRO,12,Jó 32-34
JANEIRO,13,Jó 35-37
JANEIRO,14,Jó 38-39
JANEIRO,15,Jó 40-42
JANEIRO,16,Gênesis 12-15
JANEIRO,17,Gênesis 16-18
JANEIRO,18,Gênesis 19-21
JANEIRO,19,Gênesis 22-24
JANEIRO,20,Gênesis 25-26
JANEIRO,21,Gênesis 27-29
JANEIRO,22,Gênesis 30-31
JANEIRO,23,Gênesis 32-34
JANEIRO,24,Gênesis 35-37
JANEIRO,25,Gênesis 38-40
JANEIRO,26,Gênesis 41-42
JANEIRO,27,Gênesis 43-45
JANEIRO,28,Gênesis 46-47
JANEIRO,29,Gênesis 48-50
JANEIRO,30,Êxodo 1-3
JANEIRO,31,Êxodo 4-6
FEVEREIRO,01,Êxodo 7-9
FEVEREIRO,02,Êxodo 10-12
FEVEREIRO,03,Êxodo 13-15
FEVEREIRO,04,Êxodo 16-18
FEVEREIRO,05,Êxodo 19-21
FEVEREIRO,06,Êxodo 22-24
FEVEREIRO,07,Êxodo 25-27
FEVEREIRO,08,Êxodo 28-29
FEVEREIRO,09,Êxodo 30-32
FEVEREIRO,10,Êxodo 33-35
FEVEREIRO,11,Êxodo 36-38
FEVEREIRO,12,Êxodo 39-40
FEVEREIRO,13,Levítico 1-4
FEVEREIRO,14,Levítico 5-7
FEVEREIRO,15,Levítico 8-10
FEVEREIRO,16,Levítico 11-13
FEVEREIRO,17,Levítico 14-15
FEVEREIRO,18,Levítico 16-18
FEVEREIRO,19,Levítico 19-21
FEVEREIRO,20,Levítico 22-23
FEVEREIRO,21,Levítico 24-25
FEVEREIRO,22,Levítico 26-27
FEVEREIRO,23,Números 1-2
FEVEREIRO,24,Números 3-4
FEVEREIRO,25,Números 5-6
FEVEREIRO,26,Números 7
FEVEREIRO,27,Números 8-10
FEVEREIRO,28,Números 11-13
MARÇO,01,Nm 14-15; Sl 90
MARÇO,02,Números 16-17
MARÇO,03,Números 18-20
MARÇO,04,Números 21-22
MARÇO,05,Números 23-25
MARÇO,06,Números 26-27
MARÇO,07,Números 28-30
MARÇO,08,Números 31-32
MARÇO,09,Números 33-34
MARÇO,10,Números 35-36
MARÇO,11,Deuteronômio 1-2
MARÇO,12,Deuteronômio 3-4
MARÇO,13,Deuteronômio 5-7
MARÇO,14,Deuteronômio 8-10
MARÇO,15,Deuteronômio 11-13
MARÇO,16,Deuteronômio 14-16
MARÇO,17,Deuteronômio 17-20
MARÇO,18,Deuteronômio 21-23
MARÇO,19,Deuteronômio 24-27
MARÇO,20,Deuteronômio 28-29
MARÇO,21,Deuteronômio 30-31
MARÇO,22,Dt 32,34; Sl 91
MARÇO,23,Josué 1-4
MARÇO,24,Josué 5-8
MARÇO,25,Josué 9-11
MARÇO,26,Josué 12-15
MARÇO,27,Josué 16-18
MARÇO,28,Josué 19-21
MARÇO,29,Josué 22-24
MARÇO,30,Juízes 1-2
MARÇO,31,Juízes 3-5
ABRIL,01,Juízes 6-7
ABRIL,02,Juízes 8-9
ABRIL,03,Juízes 10-12
ABRIL,04,Juízes 13-15
ABRIL,05,Juízes 16-18
ABRIL,06,Juízes 19-21
