Mês,Dia,Leitura
JANEIRO,01,Gênesis 1-2
JANEIRO,02,Gênesis 3-5
JANEIRO,03,Gênesis 6-9
JANEIRO,04,Gênesis 10-11
JANEIRO,05,Gênesis 12-15
JANEIRO,06,Gênesis 16-19
JANEIRO,07,Gênesis 20-22
JANEIRO,08,Gênesis 23-26
JANEIRO,09,Gênesis 27-29
JANEIRO,10,Gênesis 30-32
JANEIRO,11,Gênesis 33-36
JANEIRO,12,Gênesis 37-39
JANEIRO,13,Gênesis 40-42
JANEIRO,14,Gênesis 43-46
JANEIRO,15,Gênesis 47-50
JANEIRO,16,Jó 1-4
JANEIRO,17,Jó 5-7
JANEIRO,18,Jó 8-10
JANEIRO,19,Jó 11-13
JANEIRO,20,Jó 14-17
JANEIRO,21,Jó 18-20
JANEIRO,22,Jó 21-24
JANEIRO,23,Jó 25-27
JANEIRO,24,Jó 28-31
JANEIRO,25,Jó 32-34
JANEIRO,26,Jó 35-37
JANEIRO,27,Jó 38-42
JANEIRO,28,Êxodo 1-4
JANEIRO,29,Êxodo 5-7
JANEIRO,30,Êxodo 8-10
JANEIRO,31,Êxodo 11-13
FEVEREIRO,01,Êxodo 14-17
FEVEREIRO,02,Êxodo 18-20
FEVEREIRO,03,Êxodo 21-24
FEVEREIRO,04,Êxodo 25-27
FEVEREIRO,05,Êxodo 28-31
FEVEREIRO,06,Êxodo 32-34
FEVEREIRO,07,Êxodo 35-37
FEVEREIRO,08,Êxodo 38-40
FEVEREIRO,09,Levítico 1-4
FEVEREIRO,10,Levítico 5-7
FEVEREIRO,11,Levítico 8-10
FEVEREIRO,12,Levítico 11-13
FEVEREIRO,13,Levítico 14-16
FEVEREIRO,14,Levítico 17-19
FEVEREIRO,15,Levítico 20-23
FEVEREIRO,16,Levítico 24-27
FEVEREIRO,17,Números 1-3
FEVEREIRO,18,Números 4-6
FEVEREIRO,19,Números 7-10
FEVEREIRO,20,Números 11-14
FEVEREIRO,21,Números 15-17
FEVEREIRO,22,Números 18-20
FEVEREIRO,23,Números 21-24
FEVEREIRO,24,Números 25-27
FEVEREIRO,25,Números 28-30
FEVEREIRO,26,Números 31-33
FEVEREIRO,27,Números 34-36
FEVEREIRO,28,Deuteronômio 1-3
FEVEREIRO,29,Deuteronômio 4-6
MARÇO,01,Deuteronômio 4-6
MARÇO,02,Deuteronômio 7-9
MARÇO,03,Deuteronômio 10-12
MARÇO,04,Deuteronômio 13-16
MARÇO,05,Deuteronômio 17-19
MARÇO,06,Deuteronômio 20-22
MARÇO,07,Deuteronômio 23-25
MARÇO,08,Deuteronômio 26-28
MARÇO,09,Deuteronômio 29-31
MARÇO,10,Deuteronômio 32-34
MARÇO,11,Josué 1-3
MARÇO,12,Josué 4-6
MARÇO,13,Josué 7-9
MARÇO,14,Josué 10-12
MARÇO,15,Josué 13-15
MARÇO,16,Josué 16-18
MARÇO,17,Josué 19-21
MARÇO,18,Josué 22-24
MARÇO,19,Juízes 1-4
MARÇO,20,Juízes 5-8
MARÇO,21,Juízes 9-12
MARÇO,22,Juízes 13-15
MARÇO,23,Juízes 16-18
MARÇO,24,Juízes 19-21
MARÇO,25,Rute 1-4
MARÇO,26,1 Samuel 1-3
MARÇO,27,1 Samuel 4-7
MARÇO,28,1 Samuel 8-10
MARÇO,29,1 Samuel 11-13
MARÇO,30,1 Samuel 14-16
MARÇO,31,1 Samuel 17-20
ABRIL,01,1 Samuel 21-24
ABRIL,02,1 Samuel 25-28
ABRIL,03,1 Samuel 29-31
ABRIL,04,2 Samuel 1-4
ABRIL,05,2 Samuel 5-8
ABRIL,06,2 Samuel 9-12
ABRIL,07,2 Samuel 13-15
ABRIL,08,2 Samuel 16-18
ABRIL,09,2 Samuel 19-21
ABRIL,10,2 Samuel 22-24
ABRIL,11,Salmos 1-3
ABRIL,12,Salmos 4-6
