Mês,Dia,Leitura
JANEIRO,01,Romanos 1-2
JANEIRO,02,Gênesis 1-3
JANEIRO,03,Josué 1-5
JANEIRO,04,Salmos 1-2
JANEIRO,05,Jó 1-2
JANEIRO,06,Isaías 1-6
JANEIRO,07,Mateus 1-2
JANEIRO,08,Romanos 3-4
JANEIRO,09,Gênesis 4-7
JANEIRO,10,Josué 6-10
JANEIRO,11,Salmos 3-5
JANEIRO,12,Jó 3-4
JANEIRO,13,Isaías 7-11
JANEIRO,14,Mateus 3-4
JANEIRO,15,Romanos 5-6
JANEIRO,16,Gênesis 8-11
JANEIRO,17,Josué 11-15
JANEIRO,18,Salmos 6-8
JANEIRO,19,Jó 5-6
JANEIRO,20,Isaías 12-17
JANEIRO,21,Mateus 5-7
JANEIRO,22,Romanos 7-8
JANEIRO,23,Gênesis 12-15
JANEIRO,24,Josué 16-20
JANEIRO,25,Salmos 9-11
JANEIRO,26,Jó 7-8
JANEIRO,27,Isaías 18-22
JANEIRO,28,Mateus 8-10
JANEIRO,29,Romanos 9-10
JANEIRO,30,Gênesis 16-19
JANEIRO,31,Josué 21-24
FEVEREIRO,01,Salmos 12-14
FEVEREIRO,02,Jó 9-10
FEVEREIRO,03,Isaías 23-28
FEVEREIRO,04,Mateus 11-13
FEVEREIRO,05,Romanos 11-12
FEVEREIRO,06,Gênesis 20-23
FEVEREIRO,07,Juízes 1-6
FEVEREIRO,08,Salmos 15-17
FEVEREIRO,09,Jó 11-12
FEVEREIRO,10,Isaías 29-33
FEVEREIRO,11,Mateus 14-16
FEVEREIRO,12,Romanos 13-14
FEVEREIRO,13,Gênesis 24-27
FEVEREIRO,14,Juízes 7-11
FEVEREIRO,15,Salmos 18-20
FEVEREIRO,16,Jó 13-14
FEVEREIRO,17,Isaías 34-39
FEVEREIRO,18,Mateus 17-19
FEVEREIRO,19,Romanos 15-16
FEVEREIRO,20,Gênesis 28-31
FEVEREIRO,21,Juízes 12-16
FEVEREIRO,22,Salmos 21-23
FEVEREIRO,23,Jó 15-16
FEVEREIRO,24,Isaías 40-44
FEVEREIRO,25,Mateus 20-22
FEVEREIRO,26,1 Coríntios 1-2
FEVEREIRO,27,Gênesis 32-35
FEVEREIRO,28,Juízes 17-21
MARÇO,01,Salmos 24-26
MARÇO,02,Jó 17-18
MARÇO,03,Isaías 45-50
MARÇO,04,Mateus 23-25
MARÇO,05,1 Coríntios 3-4
MARÇO,06,Gênesis 36-39
MARÇO,07,Rute 1-4
MARÇO,08,Salmos 27-29
MARÇO,09,Jó 19-20
MARÇO,10,Isaías 51-55
MARÇO,11,Mateus 26-28
MARÇO,12,1 Coríntios 5-6
MARÇO,13,Gênesis 40-43
MARÇO,14,1 Samuel 1-5
MARÇO,15,Salmos 30-32
MARÇO,16,Jó 21-22
MARÇO,17,Isaías 56-61
MARÇO,18,Marcos 1-2
MARÇO,19,1 Coríntios 7-8
MARÇO,20,Gênesis 44-47
MARÇO,21,1 Samuel 6-10
MARÇO,22,Salmos 33-35
MARÇO,23,Jó 23-24
MARÇO,24,Isaías 62-66
MARÇO,25,Marcos 3-4
MARÇO,26,1 Coríntios 9-10
MARÇO,27,Gênesis 48-50
MARÇO,28,1 Samuel 11-15
MARÇO,29,Salmos 36-38
MARÇO,30,Jó 25-26
MARÇO,31,Jeremias 1-6
ABRIL,01,Marcos 5-6
ABRIL,02,1 Coríntios 11-12
ABRIL,03,Exodo 1-4
ABRIL,04,1 Samuel 16-20
ABRIL,05,Salmos 39-41
ABRIL,06,Jó 27-28
ABRIL,07,Jeremias 7-11
ABRIL,08,Marcos 7-8
ABRIL,09,1 Coríntios 13-14
ABRIL,10,Êxodo 5-8
ABRIL,11,1 Samuel 21-25
ABRIL,12,Salmos 42-44
ABRIL,13,Jó 29-30
ABRIL,14,Jeremias 12-16
ABRIL,15,Marcos 9-10
ABRIL,16,1 Coríntios 15-16
ABRIL,17,Êxodo 9-12
ABRIL,18,1 Samuel 26-31
ABRIL,19,Salmos 45-47
ABRIL,20,Jó 31-32
ABRIL,21,Jeremias 17-21
ABRIL,22,Marcos 11-12
ABRIL,23,2 Coríntios 1-3
ABRIL,24,Êxodo 13-16
ABRIL,25,2 Samuel 1-4
ABRIL,26,Salmos 48-50
ABRIL,27,Jó 33-34
ABRIL,28,Jeremias 22-26
ABRIL,29,Marcos 13-14
ABRIL,30,2 Coríntios 4-5
MAIO,01,Êxodo 17-20
MAIO,02,2 Samuel 5-9
MAIO,03,Salmos 51-53
MAIO,04,Jó 35-36
MAIO,05,Jeremias 27-31
MAIO,06,Marcos 15-16
MAIO,07,2 Coríntios 6-8
MAIO,08,Êxodo 21-24
MAIO,09,2 Samuel 10-14
MAIO,10,Salmos 54-56
MAIO,11,Jó 37-38
MAIO,12,Jeremias 32-36
MAIO,13,Lucas 1-2
MAIO,14,2 Coríntios 9-10
MAIO,15,Êxodo 25-28
MAIO,16,2 Samuel 15-19
MAIO,17,Salmos 57-59
MAIO,18,Jó 39-40
MAIO,19,Jeremias 37-41
MAIO,20,Lucas 3-4
MAIO,21,2 Coríntios 11-13
MAIO,22,Êxodo 29-32
MAIO,23,2 Samuel 20-24
MAIO,24,Salmos 60-62
MAIO,25,Jó 41-42
MAIO,26,Jeremias 42-46
MAIO,27,Lucas 5-6
MAIO,28,Gálatas 1-3
MAIO,29,Êxodo 33-36
MAIO,30,1 Reis 1-4
MAIO,31,Salmos 63-65
JUNHO,01,Provérbios 1
JUNHO,02,Jeremias 47-52
JUNHO,03,Lucas 7-8
JUNHO,04,Gálatas 4-6
JUNHO,05,Êxodo 37-40
JUNHO,06,1 Reis 5-9
JUNHO,07,Salmos 66-68
JUNHO,08,Provérbios 2-3
JUNHO,09,Lamentações 1-5
JUNHO,10,Lucas 9-10
JUNHO,11,Efésios 1-3
JUNHO,12,Levítico 1-3
JUNHO,13,1 Reis 10-13
JUNHO,14,Salmos 69-71
JUNHO,15,Provérbios 4
JUNHO,16,Ezequiel 1-6
JUNHO,17,Lucas 11-12
JUNHO,18,Efésios 4-6
JUNHO,19,Levítico 4-6
JUNHO,20,1 Reis 14-18
JUNHO,21,Salmos 72-74
JUNHO,22,Provérbios 5-6
JUNHO,23,Ezequiel 7-12
JUNHO,24,Lucas 13-14
JUNHO,25,Filipenses 1-2
JUNHO,26,Levítico 7-9
JUNHO,27,1 Reis 19-22
JUNHO,28,Salmos 75-77
JUNHO,29,Provérbios 7
JUNHO,30,Ezequiel 13-18
JULHO,01,Lucas 15-16
JULHO,02,Filipenses 3-4
JULHO,03,Levítico 10-12
JULHO,04,2 Reis 1-5
JULHO,05,Salmos 78-80
JULHO,06,Provérbios 8-9
JULHO,07,Ezequiel 19-24
JULHO,08,Lucas 17-18
JULHO,09,Colossenses 1-2
JULHO,10,Levítico 13-15
JULHO,11,2 Reis 6-10
JULHO,12,Salmos 81-83
JULHO,13,Provérbios 10
JULHO,14,Ezequiel 25-30
JULHO,15,Lucas 19-20
JULHO,16,Colossenses 3-4
JULHO,17,Levítico 16-18
JULHO,18,2 Reis 11-15
JULHO,19,Salmos 84-86
JULHO,20,Provérbios 11-12
JULHO,21,Ezequiel 31-36
JULHO,22,Lucas 21-22
JULHO,23,1 Tessalonicenses 1-3
JULHO,24,Levítico 19-21
JULHO,25,2 Reis 16-20
JULHO,26,Salmos 87-89
JULHO,27,Provérbios 13
JULHO,28,Ezequiel 37-42
JULHO,29,Lucas 23-24
JULHO,30,1 Tessalonicenses 4-5
JULHO,31,Levítico 22-24
AGOSTO,01,2 Reis 21-25
AGOSTO,02,Salmos 90-92
AGOSTO,03,Provérbios 14-15
AGOSTO,04,Ezequiel 43-48
AGOSTO,05,João 1-2
AGOSTO,06,2 Tessalonicenses 1-3
AGOSTO,07,Levítico 25-27
AGOSTO,08,1 Crônicas 1-4
AGOSTO,09,Salmos 93-95
AGOSTO,10,Provérbios 16
AGOSTO,11,Daniel 1-6
AGOSTO,12,João 3-4
AGOSTO,13,1 Timóteo 1-3
AGOSTO,14,Números 1-4
AGOSTO,15,1 Crônicas 5-9
AGOSTO,16,Salmos 96-98
AGOSTO,17,Provérbios 17-18
AGOSTO,18,Daniel 7-12
AGOSTO,19,João 5-6
AGOSTO,20,1 Timóteo 4-6
AGOSTO,21,Números 5-6
AGOSTO,22,Números 7-8
AGOSTO,23,1 Crônicas 10-14
AGOSTO,24,Salmos 99-101
AGOSTO,25,Provérbios 19
AGOSTO,26,Oséias 1-7
AGOSTO,27,João 7-9
AGOSTO,28,2 Timóteo 1-2
AGOSTO,29,Números 9-12
AGOSTO,30,1 Crônicas 15-19
AGOSTO,31,Salmos 102-104
SETEMBRO,01,Provérbios 20-21
SETEMBRO,02,Oséias 8-14
SETEMBRO,03,João 10-12
SETEMBRO,04,2 Timóteo 3-4
SETEMBRO,05,Números 13-16
SETEMBRO,06,1 Crônicas 20-24
SETEMBRO,07,Salmos 105-107
SETEMBRO,08,Provérbios 22
SETEMBRO,09,Joel 1-3
SETEMBRO,10,João 13-15
SETEMBRO,11,Tito 1-3
SETEMBRO,12,Números 17-20
SETEMBRO,13,1 Crônicas 25-29
SETEMBRO,14,Salmos 108-110
SETEMBRO,15,Provérbios 23-24
SETEMBRO,16,Amós 1-4
SETEMBRO,17,João 16-18
SETEMBRO,18,Filemom
SETEMBRO,19,Números 21-24
SETEMBRO,20,2 Crônicas 1-5
SETEMBRO,21,Salmos 111-113
SETEMBRO,22,Provérbios 25
SETEMBRO,23,Amós 5-9
SETEMBRO,24,João 19-21
SETEMBRO,25,Hebreus 1-4
SETEMBRO,26,Números 24-28
SETEMBRO,27,2 Crônicas 6-10
SETEMBRO,28,Salmos 114-116
SETEMBRO,29,Provérbios 26-27
SETEMBRO,30,Obadias
OUTUBRO,01,Atos 1-2
OUTUBRO,02,Hebreus 5-7
OUTUBRO,03,Números 29-32
OUTUBRO,04,2 Crônicas 11-15
OUTUBRO,05,Salmos 117-118
OUTUBRO,06,Provérbios 28
OUTUBRO,07,Jonas 1-4
OUTUBRO,08,Atos 3-4
OUTUBRO,09,Hebreus 8-10
OUTUBRO,10,Números 33-36
OUTUBRO,11,2 Crônicas 16-20
OUTUBRO,12,Salmos 119
OUTUBRO,13,Provérbios 29-30
OUTUBRO,14,Miquéias 1-7
OUTUBRO,15,Atos 5-6
OUTUBRO,16,Hebreus 11-13
OUTUBRO,17,Deuteronômio 1-3
OUTUBRO,18,2 Crônicas 21-24
OUTUBRO,19,Salmos 120-121
OUTUBRO,20,Provérbios 31
OUTUBRO,21,Naum 1-3
OUTUBRO,22,Atos 7-8
OUTUBRO,23,Tiago 1-3
OUTUBRO,24,Deuteronômio 4-6
OUTUBRO,25,2 Crônicas 25-28
OUTUBRO,26,Salmos 122-124
OUTUBRO,27,Eclesiastes 1-2
OUTUBRO,28,Habacuque 1-3
OUTUBRO,29,Atos 9-10
OUTUBRO,30,Tiago 4-5
OUTUBRO,31,Deuteronômio 7-9
NOVEMBRO,01,2 Crônicas 29-32
NOVEMBRO,02,Salmos 125-127
NOVEMBRO,03,Eclesiastes 3-4
NOVEMBRO,04,Sofonias 1-3
NOVEMBRO,05,Atos 11-12
NOVEMBRO,06,1 Pedro 1-3
NOVEMBRO,07,Deuteronômio 10-12
NOVEMBRO,08,2 Crônicas 33-36
NOVEMBRO,09,Salmos 128-130
NOVEMBRO,10,Eclesiastes 5-6
NOVEMBRO,11,Ageu 1-2
NOVEMBRO,12,Atos 13-14
NOVEMBRO,13,1 Pedro 4-5
NOVEMBRO,14,Deuteronômio 13-15
NOVEMBRO,15,Esdras 1-5
NOVEMBRO,16,Salmos 131-133
NOVEMBRO,17,Eclesiastes 7-8
NOVEMBRO,18,Zacarias 1-7
NOVEMBRO,19,Atos 15-16
NOVEMBRO,20,2 Pedro 1-3
NOVEMBRO,21,Deuteronômio 16-17
NOVEMBRO,22,Esdras 6-10
NOVEMBRO,23,Salmos 134-136
NOVEMBRO,24,Eclesiastes 9-10
NOVEMBRO,25,Zacarias 8-14
NOVEMBRO,26,Atos 17-18
NOVEMBRO,27,1 João 1-3
NOVEMBRO,28,Deuteronômio 20-22
NOVEMBRO,29,Neemias 1-4
NOVEMBRO,30,Salmos 137-139
DEZEMBRO,01,Eclesiates 11-12
DEZEMBRO,02,Malaquias 1-4
DEZEMBRO,03,Atos 19-20
DEZEMBRO,04,1 João 4-5
DEZEMBRO,05,Deuteronômio 23-25
DEZEMBRO,06,Neemias 5-9
DEZEMBRO,07,Salmos 140-142
DEZEMBRO,08,Cânticos 1-2
DEZEMBRO,09,Apocalipse 1-6
DEZEMBRO,10,Atos 21-22
DEZEMBRO,11,2 João
DEZEMBRO,12,Deuteronômio 26-28
DEZEMBRO,13,Neemias 10-13
DEZEMBRO,14,Salmos 143-145
DEZEMBRO,15,Cânticos 3-4
DEZEMBRO,16,Apocalipse 7-11
DEZEMBRO,17,Atos 23-24
DEZEMBRO,18,3 João
DEZEMBRO,19,Deuteronômio 29-31
DEZEMBRO,20,Ester 1-5
DEZEMBRO,21,Salmos 146-148
DEZEMBRO,22,Cânticos 5-6
DEZEMBRO,23,Apocalipse 12-17
DEZEMBRO,24,Atos 25-26
DEZEMBRO,25,Judas
DEZEMBRO,26,Deuteronômio 32-34
DEZEMBRO,27,Ester 6-10
DEZEMBRO,28,Salmos 149-150
DEZEMBRO,29,Cânticos 7-8
DEZEMBRO,30,Apocalipse 18-22
DEZEMBRO,31,Atos 27-28
