Mês,Dia,Leitura
JANEIRO,01,Gênesis 1-4
JANEIRO,02,Gênesis 5-8
JANEIRO,03,Gênesis 9-12
JANEIRO,04,Gênesis 13-17
JANEIRO,05,Gênesis 18-20
JANEIRO,06,Gênesis 21-23
JANEIRO,07,Gênesis 24-25
JANEIRO,08,Gênesis 26-28
JANEIRO,09,Gênesis 29-31
JANEIRO,10,Gênesis 32-35
JANEIRO,11,Gênesis 36-38
JANEIRO,12,Gênesis 39-41
JANEIRO,13,Gênesis 42-43
JANEIRO,14,Gênesis 44-46
JANEIRO,15,Gênesis 47-50
JANEIRO,16,Êxodo 1-4
JANEIRO,17,Êxodo 5-7
JANEIRO,18,Êxodo 8-10
JANEIRO,19,Êxodo 11-13
JANEIRO,20,Êxodo 14-16
JANEIRO,21,Êxodo 17-20
JANEIRO,22,Êxodo 21-23
JANEIRO,23,Êxodo 24-27
JANEIRO,24,Êxodo 28-30
JANEIRO,25,Êxodo 31-34
JANEIRO,26,Êxodo 35-37
JANEIRO,27,Êxodo 38-40
JANEIRO,28,Levítico 1-4
JANEIRO,29,Levítico 5-7
JANEIRO,30,Levítico 8-10
JANEIRO,31,Levítico 11-13
FEVEREIRO,01,Levítico 14-15
FEVEREIRO,02,Levítico 16-18
FEVEREIRO,03,Levítico 19-21
FEVEREIRO,04,Levitico 22-23
FEVEREIRO,05,Levítico 24-25
FEVEREIRO,06,Levitico 26-27
FEVEREIRO,07,Números 1-2
FEVEREIRO,08,Números 3-4
FEVEREIRO,09,Números 5-6
FEVEREIRO,10,Números 7
FEVEREIRO,11,Números 8-10
FEVEREIRO,12,Números 11-13
FEVEREIRO,13,Números 14-15
FEVEREIRO,14,Números 16-18
FEVEREIRO,15,Números 19-21
FEVEREIRO,16,Números 22-24
FEVEREIRO,17,Números 25-26
FEVEREIRO,18,Números 27-29
FEVEREIRO,19,Números 30-32
FEVEREIRO,20,Números 33-36
FEVEREIRO,21,Deuteronômio 1-2
FEVEREIRO,22,Deuteronômio 3-4
FEVEREIRO,23,Deuteronômio 5-8
FEVEREIRO,24,Deuteronômio 9-11
FEVEREIRO,25,Deuteronômio 12-15
FEVEREIRO,26,Deuteronômio 16-19
FEVEREIRO,27,Deuteronômio 20-22
FEVEREIRO,28,Deuteronômio 23-25
MARÇO,01,Deuteronômio 26-27
MARÇO,02,Deuteronômio 28-29
MARÇO,03,Deuteronômio 30-32
MARÇO,04,Deuteronômio 33-34
MARÇO,05,Josué 1-4
MARÇO,06,Josué 5-7
MARÇO,07,Josué 8-10
MARÇO,08,Josué 11-13
MARÇO,09,Josué 14-17
MARÇO,10,Josué 18-20
MARÇO,11,Josué 21-22
MARÇO,12,Josué 23-24
MARÇO,13,Juízes 1-3
MARÇO,14,Juízes 4-5
MARÇO,15,Juízes 6-8
MARÇO,16,Juízes 9-10
