Mês,Dia,Leitura
JANEIRO,1,Gn 1-2 ; Sl 1 ; Mt 1-2
JANEIRO,2,Gn 3-4 ; Sl 2 ; Mt 3-4
JANEIRO,3,Gn 5-7 ; Sl 3 ; Mt 5
JANEIRO,4,Gn 8-9 ; Sl 4 ; Mt 6-7
JANEIRO,5,Gn 10-11 ; Sl 5 ; Mt 8-9
JANEIRO,6,Gn 12-13 ; Sl 6 ; Mt 10-11
JANEIRO,7,Gn 14-15 ; Sl 7 ; Mt 12
JANEIRO,8,Gn 16-17 ; Sl 8 ; Mt 13
JANEIRO,9,Gn 18-19 ; Sl 9 ; Mt 14-15
JANEIRO,10,Gn 20-21 ; Sl 10 ; Mt 16-17
JANEIRO,11,Gn 22-23 ; Sl 11 ; Mt 18
JANEIRO,12,Gn 24 ; Sl 12 ; Mt 19-20
JANEIRO,13,Gn 25-26 ; Sl 13 ; Mt 21
JANEIRO,14,Gn 27-28 ; Sl 14 ; Mt 22
JANEIRO,15,Gn 29-30 ; Sl 15 ; Mt 23
JANEIRO,16,Gn 31-32 ; Sl 16 ; Mt 24
JANEIRO,17,Gn 33-34 ; Sl 17 ; Mt 25
JANEIRO,18,Gn 35-36 ; Sl 18 ; Mt 26
JANEIRO,19,Gn 37-38 ; Sl 19 ; Mt 27
JANEIRO,20,Gn 39-40 ; Sl 20 ; Mt 28
JANEIRO,21,Gn 41-42 ; Sl 21 ; Mc 1
JANEIRO,22,Gn 43-44 ; Sl 22 ; Mc 2
JANEIRO,23,Gn 45-46 ; Sl 23 ; Mc 3
JANEIRO,24,Gn 47-48 ; Sl 24 ; Mc 4
JANEIRO,25,Gn 49-50 ; Sl 25 ; Mc 5
JANEIRO,26,Ex 1-2 ; Sl 26 ; Mc 6
JANEIRO,27,Ex 3-4 ; Sl 27 ; Mc 7
JANEIRO,28,Ex 5-6 ; Sl 28 ; Mc 8
JANEIRO,29,Ex 7-8 ; Sl 29 ; Mc 9
JANEIRO,30,Ex 9-10 ; Sl 30 ; Mc 10
JANEIRO,31,Ex 11-12 ; Sl 31 ; Mc 11
FEVEREIRO,1,Ex 13-14 ; Sl 32 ; Mc 12
FEVEREIRO,2,Ex 15-16 ; Sl 33 ; Mc 13
FEVEREIRO,3,Ex 17-18 ; Sl 34 ; Mc 14
FEVEREIRO,4,Ex 19-20 ; Sl 35 ; Mc 15
FEVEREIRO,5,Ex 21-22 ; Sl 36 ; Mc 16
FEVEREIRO,6,Ex 23-24 ; Sl 37 ; Lc 1
FEVEREIRO,7,Ex 25-26 ; Sl 38 ; Lc 2
FEVEREIRO,8,Ex 27-28 ; Sl 39 ; Lc 3
FEVEREIRO,9,Ex 29-30 ; Sl 40 ; Lc 4
FEVEREIRO,10,Ex 31-32 ; Sl 41 ; Lc 5
FEVEREIRO,11,Ex 33-34 ; Sl 42 ; Lc 6
FEVEREIRO,12,Ex 35-36 ; Sl 43 ; Lc 7
FEVEREIRO,13,Ex 37-38 ; Sl 44 ; Lc 8
FEVEREIRO,14,Ex 39-40 ; Sl 45 ; Lc 9
FEVEREIRO,15,Lv 1-2 ; Sl 46 ; Lc 10
FEVEREIRO,16,Lv 3-4 ; Sl 47 ; Lc 11
FEVEREIRO,17,Lv 5-6 ; Sl 48 ; Lc 12
FEVEREIRO,18,Lv 7-8 ; Sl 49 ; Lc 13
FEVEREIRO,19,Lv 9-10 ; Sl 50 ; Lc 14
FEVEREIRO,20,Lv 11-12 ; Sl 51 ; Lc 15
FEVEREIRO,21,Lv 13 ; Sl 52 ; Lc 16
FEVEREIRO,22,Lv 14 ; Sl 53 ; Lc 17
FEVEREIRO,23,Lv 15-16 ; Sl 54 ; Lc 18
FEVEREIRO,24,Lv 17-18 ; Sl 55 ; Lc 19
FEVEREIRO,25,Lv 19-20 ; Sl 56 ; Lc 20
FEVEREIRO,26,Lv 21-22 ; Sl 57 ; Lc 21
FEVEREIRO,27,Lv 23-24 ; Sl 58 ; Lc 22
FEVEREIRO,28,Lv 25 ; Sl 59 ; Lc 23
FEVEREIRO,29,Lv 26-27 ; Sl 60 ; Lc 24
MARÇO,1,Nm 1-2 ; Sl 61 ; Jo 1
MARÇO,2,Nm 3-4 ; Sl 62 ; Jo 2-3
MARÇO,3,Nm 5-6 ; Sl 63 ; Jo 4
MARÇO,4,Nm 7 ; Sl 64 ; Jo 5
MARÇO,5,Nm 8-9 ; Sl 65 ; Jo 6
MARÇO,6,Nm 10-11 ; Sl 66 ; Jo 7
MARÇO,7,Nm 12-13 ; Sl 67 ; Jo 8
MARÇO,8,Nm 14-15 ; Sl 68 ; Jo 9
MARÇO,9,Nm 16 ; Sl 69 ; Jo 10
MARÇO,10,Nm 17-18 ; Sl 70 ; Jo 11
MARÇO,11,Nm 19-20 ; Sl 71 ; Jo 12
MARÇO,12,Nm 21-22 ; Sl 72 ; Jo 13
MARÇO,13,Nm 23-24 ; Sl 73 ; Jo 14-15
MARÇO,14,Nm 25-26 ; Sl 74 ; Jo 16
MARÇO,15,Nm 27-28 ; Sl 75 ; Jo 17
MARÇO,16,Nm 29-30 ; Sl 76 ; Jo 18
MARÇO,17,Nm 31-32 ; Sl 77 ; Jo 19
MARÇO,18,Nm 33-34 ; Sl 78 ; Jo 20
MARÇO,19,Nm 35-36 ; Sl 79 ; Jo 21
MARÇO,20,Dt 1-2 ; Sl 80 ; At 1
MARÇO,21,Dt 3-4 ; Sl 81 ; At 2
MARÇO,22,Dt 5-6 ; Sl 82 ; At 3-4
MARÇO,23,Dt 7-8 ; Sl 83 ; At 5-6
MARÇO,24,Dt 9-10 ; Sl 84 ; At 7
MARÇO,25,Dt 11-12 ; Sl 85 ; At 8
MARÇO,26,Dt 13-14 ; Sl 86 ; At 9
MARÇO,27,Dt 15-16 ; Sl 87 ; At 10
MARÇO,28,Dt 17-18 ; Sl 88 ; At 11-12
MARÇO,29,Dt 19-20 ; Sl 89 ; At 13
MARÇO,30,Dt 21-22 ; Sl 90 ; At 14
MARÇO,31,Dt 23-24 ; Sl 91 ; At 15
ABRIL,1,Dt 25-27 ; Sl 92 ; At 16
ABRIL,2,Dt 28-29 ; Sl 93 ; At 17
ABRIL,3,Dt 30-31 ; Sl 94 ; At 18
ABRIL,4,Dt 32 ; Sl 95 ; At 19
ABRIL,5,Dt 33-34 ; Sl 96 ; At 20
ABRIL,6,Js 1-2 ; Sl 97 ; At 21
ABRIL,7,Js 3-4 ; Sl 98 ; At 22
ABRIL,8,Js 5-6 ; Sl 99 ; At 23
ABRIL,9,Js 7-8 ; Sl 100 ; At 24-25
ABRIL,10,Js 9-10 ; Sl 101 ; At 26
ABRIL,11,Js 11-12 ; Sl 102 ; At 27
ABRIL,12,Js 13-14 ; Sl 103 ; At 28
ABRIL,13,Js 15-16 ; Sl 104 ; Rm 1-2
ABRIL,14,Js 17-18 ; Sl 105 ; Rm 3-4
ABRIL,15,Js 19-20 ; Sl 106 ; Rm 5-6
ABRIL,16,Js 21-22 ; Sl 107 ; Rm 7-8
ABRIL,17,Js 23-24 ; Sl 108 ; Rm 9-10
ABRIL,18,Jz 1-2 ; Sl 109 ; Rm 11-12
ABRIL,19,Jz 3-4 ; Sl 110 ; Rm 13-14
ABRIL,20,Jz 5-6 ; Sl 111 ; Rm 15-16
ABRIL,21,Jz 7-8 ; Sl 112 ; 1Co 1-2
ABRIL,22,Jz 9 ; Sl 113 ; 1Co 3-4
ABRIL,23,Jz 10-11 ; Sl 114 ; 1Co 5-6
ABRIL,24,Jz 12-13 ; Sl 115 ; 1Co 7
ABRIL,25,Jz 14-15 ; Sl 116 ; 1Co 8-9
ABRIL,26,Jz 16-17 ; Sl 117 ; 1Co 10
ABRIL,27,Jz 18-19 ; Sl 118 ; 1Co 11
ABRIL,28,Jz 20-21 ; Sl 119 ; 1Co 12
ABRIL,29,Rt 1-4 ; Sl 119 ; 1Co 13
ABRIL,30,
ABRIL,31,
MAIO,1,1Sm 1-2 ; Sl 120 ; 1Co 14
MAIO,2,1Sm 3-4 ; Sl 121 ; 1Co 15
MAIO,3,1Sm 5-6 ; Sl 122 ; 1Co 16
MAIO,4,1Sm 7-8 ; Sl 123 ; 2Co 1
MAIO,5,1Sm 9-10 ; Sl 124 ; 2Co 2-3
MAIO,6,1Sm 11-12 ; Sl 125 ; 2Co 4-5
MAIO,7,1Sm 13-14 ; Sl 126 ; 2Co 6-7
MAIO,8,1Sm 15-16 ; Sl 127 ; 2Co 8
