Mês,Dia,Leitura
JANEIRO,01,Mateus 01
JANEIRO,02,Mateus 02
JANEIRO,03,Mateus 03
JANEIRO,04,Mateus 04
JANEIRO,05,Mateus 05
JANEIRO,08,Mateus 06
JANEIRO,09,Mateus 07
JANEIRO,10,Mateus 08
JANEIRO,11,Mateus 09
JANEIRO,12,Mateus 10
JANEIRO,15,Mateus 11
JANEIRO,16,Mateus 12
JANEIRO,17,Mateus 13
JANEIRO,18,Mateus 14
JANEIRO,19,Mateus 15
JANEIRO,22,Mateus 16
JANEIRO,23,Mateus 17
JANEIRO,24,Mateus 18
JANEIRO,25,Mateus 19
JANEIRO,26,Mateus 20
JANEIRO,29,Mateus 21
JANEIRO,30,Mateus 22
JANEIRO,31,Mateus 23
FEVEREIRO,01,Mateus 24
FEVEREIRO,02,Mateus 25
FEVEREIRO,05,Mateus 26
FEVEREIRO,06,Mateus 27
FEVEREIRO,07,Mateus 28
FEVEREIRO,08,Marcos 01
FEVEREIRO,09,Marcos 02
FEVEREIRO,12,Marcos 03
FEVEREIRO,13,Marcos 04
FEVEREIRO,14,Marcos 05
FEVEREIRO,15,Marcos 06
FEVEREIRO,16,Marcos 07
FEVEREIRO,19,Marcos 08
FEVEREIRO,20,Marcos 09
FEVEREIRO,21,Marcos 10
FEVEREIRO,22,Marcos 11
FEVEREIRO,23,Marcos 12
FEVEREIRO,26,Marcos 13
FEVEREIRO,27,Marcos 14
FEVEREIRO,28,Marcos 15
MARÇO,01,Marcos 16
MARÇO,04,Lucas 01
MARÇO,05,Lucas 02
MARÇO,06,Lucas 03
MARÇO,07,Lucas 04
MARÇO,08,Lucas 05
MARÇO,11,Lucas 06
MARÇO,12,Lucas 07
MARÇO,13,Lucas 08
MARÇO,14,Lucas 09
MARÇO,15,Lucas 10
MARÇO,18,Lucas 11
MARÇO,19,Lucas 12
MARÇO,20,Lucas 13
MARÇO,21,Lucas 14
MARÇO,22,Lucas 15
MARÇO,25,Lucas 16
MARÇO,26,Lucas 17
MARÇO,27,Lucas 18
MARÇO,28,Lucas 19
MARÇO,29,Lucas 20
ABRIL,01,Lucas 21
ABRIL,02,Lucas 22
ABRIL,03,Lucas 23
ABRIL,04,Lucas 24
ABRIL,05,João 01
ABRIL,08,João 02
ABRIL,09,João 03
ABRIL,10,João 04
ABRIL,11,João 05
ABRIL,12,João 06
ABRIL,15,João 07
ABRIL,16,João 08
ABRIL,17,João 09
ABRIL,18,João 10
ABRIL,19,João 11
ABRIL,22,João 12
ABRIL,23,João 13
ABRIL,24,João 14
ABRIL,25,João 15
ABRIL,26,João 16
ABRIL,29,João 17
ABRIL,30,João 18
MAIO,01,João 19
MAIO,02,João 20
MAIO,03,João 21
MAIO,06,Atos 01
MAIO,07,Atos 02
MAIO,08,Atos 03
MAIO,09,Atos 04
MAIO,10,Atos 05
MAIO,13,Atos 06
MAIO,14,Atos 07
MAIO,15,Atos 08
MAIO,16,Atos 09
MAIO,17,Atos 10
MAIO,20,Atos 11
MAIO,21,Atos 12
MAIO,22,Atos 13
MAIO,23,Atos 14
MAIO,24,Atos 15
MAIO,27,Atos 16
MAIO,28,Atos 17
MAIO,29,Atos 18
MAIO,30,Atos 19
MAIO,31,Atos 20
JUNHO,03,Atos 21
JUNHO,04,Atos 22
JUNHO,05,Atos 23
JUNHO,06,Atos 24
JUNHO,07,Atos 25
JUNHO,10,Atos 26
JUNHO,11,Atos 27
JUNHO,12,Atos 28
JUNHO,13,Romanos 01
JUNHO,14,Romanos 02
JUNHO,17,Romanos 03
JUNHO,18,Romanos 04
JUNHO,19,Romanos 05
JUNHO,20,Romanos 06
JUNHO,21,Romanos 07
JUNHO,24,Romanos 08
JUNHO,25,Romanos 09
JUNHO,26,Romanos 10
JUNHO,27,Romanos 11
JUNHO,28,Romanos 12
JULHO,01,Romanos 13
JULHO,02,Romanos 14
JULHO,03,Romanos 15
JULHO,04,Romanos 16
JULHO,05,1 Coríntios 01
JULHO,08,1 Coríntios 02
JULHO,09,1 Coríntios 03
JULHO,10,1 Coríntios 04
JULHO,11,1 Coríntios 05
JULHO,12,1 Coríntios 06
JULHO,15,1 Coríntios 07
JULHO,16,1 Coríntios 08
JULHO,17,1 Corintios 09
JULHO,18,1 Coríntios 10
JULHO,19,1 Coríntios 11
JULHO,22,1 Coríntios 12
JULHO,23,1 Coríntios 13.
JULHO,24,1 Coríntios 14
JULHO,25,1 Coríntios 15
JULHO,26,1 Coríntios 16
JULHO,29,2 Coríntios 01
JULHO,30,2 Coríntios 02
JULHO,31,2 Coríntios 03
AGOSTO,01,2 Coríntios 04
AGOSTO,02,2 Coríntios 05
AGOSTO,05,2 Coríntios 06
AGOSTO,06,2 Coríntios 07
AGOSTO,07,2 Coríntios 08
AGOSTO,08,2 Coríntios 09
AGOSTO,09,2 Coríntios 10
AGOSTO,12,2 Coríntios 11
AGOSTO,13,2 Coríntios 12
AGOSTO,14,2 Coríntios 13
AGOSTO,15,Gálatas 01
AGOSTO,16,Gálatas 02
AGOSTO,19,Gálatas 03
AGOSTO,20,Gálatas 04
AGOSTO,21,Gálatas 05
AGOSTO,22,Gálatas 06
AGOSTO,23,Efésios 01
AGOSTO,26,Efésios 02
AGOSTO,27,Efésios 03
AGOSTO,28,Efésios 04
AGOSTO,29,Efésios 05
AGOSTO,30,Efésios 06
SETEMBRO,02,Filipenses 01
SETEMBRO,03,Filipenses 02
SETEMBRO,04,Filipenses 03
SETEMBRO,05,Filipenses 04
SETEMBRO,06,Colossenses 01
SETEMBRO,09,Colossenses 02
SETEMBRO,10,Colossenses 03
SETEMBRO,11,Colossenses 04
SETEMBRO,12,1 Tessalonicenses 01
SETEMBRO,13,1 Tessalonicenses 02
SETEMBRO,16,1 Tessalonicenses 03
SETEMBRO,17,1 Tessalonicenses 04
SETEMBRO,18,1 Tessalonicenses 05
SETEMBRO,19,2 Tessalonicenses 01
SETEMBRO,20,2 Tessalonicenses 02
SETEMBRO,23,2 Tessalonicenses 03
SETEMBRO,24,1 Timóteo 01
SETEMBRO,25,1 Timóteo 02
SETEMBRO,26,1 Timóteo 03
SETEMBRO,27,1 Timóteo 04
SETEMBRO,30,1 Timóteo 05
OUTUBRO,01,1 Timóteo 06
OUTUBRO,02,2 Timóteo 01
OUTUBRO,03,2 Timóteo 02
OUTUBRO,04,2 Timóteo 03
OUTUBRO,07,2 Timóteo 04
OUTUBRO,08,Tito 01
OUTUBRO,09,Tito 02
OUTUBRO,10,Tito 03
OUTUBRO,11,Filemom
OUTUBRO,14,Hebreus 01
OUTUBRO,15,Hebreus 02
OUTUBRO,16,Hebreus 03
OUTUBRO,17,Hebreus 04
OUTUBRO,18,Hebreus 05
OUTUBRO,21,Hebreus 06
OUTUBRO,22,Hebreus 07
OUTUBRO,23,Hebreus 08
OUTUBRO,24,Hebreus 09
OUTUBRO,25,Hebreus 10
OUTUBRO,28,Hebreus 11
OUTUBRO,29,Hebreus 12
OUTUBRO,30,Hebreus 13
OUTUBRO,31,Tiago 01
NOVEMBRO,01,Tiago 02
NOVEMBRO,04,Tiago 03
NOVEMBRO,05,Tiago 04
NOVEMBRO,06,Tiago 05
NOVEMBRO,07,1 Pedro 01
NOVEMBRO,08,1 Pedro 02
NOVEMBRO,11,1 Pedro 03
NOVEMBRO,12,1 Pedro 04
NOVEMBRO,13,1 Pedro 05
NOVEMBRO,14,2 Pedro 01
NOVEMBRO,15,2 Pedro 02
NOVEMBRO,18,2 Pedro 03
NOVEMBRO,19,1 João 01
NOVEMBRO,20,1 João 02
NOVEMBRO,21,1 João 03
NOVEMBRO,22,1 João 04
NOVEMBRO,25,1 João 05
NOVEMBRO,26,2 João
NOVEMBRO,27,3 João
NOVEMBRO,28,Judas
NOVEMBRO,29,Apocalipse 01
DEZEMBRO,02,Apocalipse 02
DEZEMBRO,03,Apocalipse 03
DEZEMBRO,04,Apocalipse 04
DEZEMBRO,05,Apocalipse 05
DEZEMBRO,06,Apocalipse 06
DEZEMBRO,09,Apocalipse 07
DEZEMBRO,10,Apocalipse 08
DEZEMBRO,11,Apocalipse 09
DEZEMBRO,12,Apocalipse 10
DEZEMBRO,13,Apocalipse 11
DEZEMBRO,16,Apocalipse 12
DEZEMBRO,17,Apocalipse 13
DEZEMBRO,18,Apocalipse 14
DEZEMBRO,19,Apocalipse 15
DEZEMBRO,20,Apocalipse 16
DEZEMBRO,23,Apocalipse 17
DEZEMBRO,24,Apocalipse 18
DEZEMBRO,25,Apocalipse 19
