Mês,Dia,Leitura
JANEIRO,01,Salmos 1
JANEIRO,02,Salmos 2
JANEIRO,03,Salmos 3
JANEIRO,04,Salmos 4
JANEIRO,05,Salmos 5
JANEIRO,08,Salmos 6
JANEIRO,09,Salmos 7
JANEIRO,10,Salmos 8
JANEIRO,11,Salmos 9:1-10
JANEIRO,12,Salmos 9:11-20
JANEIRO,15,Salmos 10:1-11
JANEIRO,16,Salmos 10:12-18
JANEIRO,17,Salmos 11
JANEIRO,18,Salmos 12
JANEIRO,19,Salmos 13
JANEIRO,22,Salmos 14
JANEIRO,23,Salmos 15
JANEIRO,24,Salmos 16
JANEIRO,25,Salmos 17
JANEIRO,26,Salmos 18:1-12
JANEIRO,29,Salmos 18:13-19
JANEIRO,30,Salmos 18:20-30
JANEIRO,31,Salmos 18:31-50
FEVEREIRO,01,Salmos 19
FEVEREIRO,02,Salmos 20
FEVEREIRO,05,Salmos 21
FEVEREIRO,06,Salmos 22:1-11
FEVEREIRO,07,Salmos 22:12-21
FEVEREIRO,08,Salmos 22:22-31 Salmos 23
FEVEREIRO,09,Salmos 24
FEVEREIRO,12,Salmos 25:1-10
FEVEREIRO,13,Salmos 25:11-22
FEVEREIRO,14,Salmos 26
FEVEREIRO,15,Salmos 27:1-6
FEVEREIRO,16,Salmos 27:7-14
FEVEREIRO,19,Salmos 28
FEVEREIRO,20,Salmos 29
FEVEREIRO,21,Salmos 30
FEVEREIRO,22,Salmos 31:1-10
FEVEREIRO,23,Salmos 31:11-24
FEVEREIRO,26,Salmos 32
FEVEREIRO,27,Salmos 33:1-12
FEVEREIRO,28,Salmos 33:13-22
MARÇO,01,Salmos 34:1-10
MARÇO,04,Salmos 34:11-22
MARÇO,05,Salmos 35:1-10
MARÇO,06,Salmos 35:11-21
MARÇO,07,Salmos 35:22-28
MARÇO,08,Salmos 36
MARÇO,11,Salmos 37:1-9
MARÇO,12,Salmos 37:10-20
MARÇO,13,Salmos 37:21-29
MARÇO,14,Salmos 37:30-40
MARÇO,15,Salmos 38:1-11
MARÇO,18,Salmos 38:12-22
MARÇO,19,Salmos 39
MARÇO,20,Salmos 40:1-8
MARÇO,21,Salmos 40:9-17 Salmos 41
MARÇO,22,Salmos 42
MARÇO,25,Salmos 43
MARÇO,26,Salmos 44:1-8
MARÇO,27,Salmos 44:9-16 Salmos 44:17-26
MARÇO,28,Salmos 45
MARÇO,29,Salmos 46
ABRIL,01,Salmos 47
ABRIL,02,Salmos 48
ABRIL,03,Salmos 49:1-9
ABRIL,04,Salmos 49:10-20
ABRIL,05,Salmos 50:1-15
ABRIL,08,Salmos 50:16-23
ABRIL,09,Salmos 51:1-12
ABRIL,10,Salmos 51:13-19
ABRIL,11,Salmos 52
ABRIL,12,Salmos 53
ABRIL,15,Salmos 54
ABRIL,16,Salmos 55:1-11
ABRIL,17,Salmos 55:12-23
ABRIL,18,Salmos 56
ABRIL,19,Salmos 57
ABRIL,22,Salmos 58
ABRIL,23,Salmos 59
ABRIL,24,Salmos 60
ABRIL,25,Salmos 61
ABRIL,26,Salmos 62
ABRIL,29,Salmos 63
ABRIL,30,Salmos 64
MAIO,01,Salmos 65
MAIO,02,Salmos 66:1-12 Salmos 66:13-20
MAIO,03,Salmos 67
MAIO,06,Salmos 68:1-18
MAIO,07,Salmos 68:19-35
MAIO,08,Salmos 69:1-15
MAIO,09,Salmos 69:16-28
MAIO,10,Salmos 69:29-36 Salmos 70
MAIO,13,Salmos 71:1-11
MAIO,14,Salmos 71:12-24
MAIO,15,Salmos 72:1-11
MAIO,16,Salmos 72:12-20
MAIO,17,Salmos 73:1-15
MAIO,20,Salmos 73:16-28
MAIO,21,Salmos 74:1-11
MAIO,22,Salmos 74:12-23
MAIO,23,Salmos 75
MAIO,24,Salmos 76
MAIO,27,Salmos 77:1-10
MAIO,28,Salmos 77:11-20
MAIO,29,Salmos 78:1-16
MAIO,30,Salmos 78:17-31
MAIO,31,Salmos 78:32-40
JUNHO,03,Salmos 78:41-49
JUNHO,04,Salmos 78:50-61
JUNHO,05,Salmos 78:62-72
JUNHO,06,Salmos 79
JUNHO,07,Salmos 80:1-13
JUNHO,10,Salmos 80:14-19
JUNHO,11,Salmos 81
JUNHO,12,Salmos 82
JUNHO,13,Salmos 83:1-8
JUNHO,14,Salmos 83:9-18
JUNHO,17,Salmos 84
JUNHO,18,Salmos 85
JUNHO,19,Salmos 86
JUNHO,20,Salmos 87
JUNHO,21,Salmos 88
JUNHO,24,Salmos 89:1-18
JUNHO,25,Salmos 89:19-37
JUNHO,26,Salmos 89:38-52
JUNHO,27,Salmos 90
JUNHO,28,Salmos 91
JULHO,01,Salmos 92
JULHO,02,Salmos 93
JULHO,03,Salmos 94:1-11
JULHO,04,Salmos 94:12-23
JULHO,05,Salmos 95
JULHO,08,Salmos 96
JULHO,09,Salmos 97
JULHO,10,Salmos 98
JULHO,11,Salmos 99
JULHO,12,Salmos 100
JULHO,15,Salmos 101
JULHO,16,Salmos 102:1-11
JULHO,17,Salmos 102:12-28
JULHO,18,Salmos 103:1-10
JULHO,19,Salmos 103:11-22 Salmos 104:1-13
JULHO,22,Salmos 104:14-23
JULHO,23,Salmos 104:24-35
JULHO,24,Salmos 105:1-11
JULHO,25,Salmos 105:12-22
JULHO,26,Salmos 105:23-36
JULHO,29,Salmos 105:37-45
JULHO,30,Salmos 106:1-12
JULHO,31,Salmos 106:13-23
AGOSTO,01,Salmos 106:24-33
AGOSTO,02,Salmos 106:34-48
AGOSTO,05,Salmos 107:1-16
AGOSTO,06,Salmos 107:17-32
AGOSTO,07,Salmos 107:33-43
AGOSTO,08,Salmos 108
AGOSTO,09,Salmos 109:1-15
AGOSTO,12,Salmos 109:16-31
AGOSTO,13,Salmos 110
AGOSTO,14,Salmos 111
AGOSTO,15,Salmos 112
AGOSTO,16,Salmos 113
AGOSTO,19,Salmos 114
AGOSTO,20,Salmos 115:1-8
AGOSTO,21,Salmos 115:9-18
AGOSTO,22,Salmos 116:1-11
AGOSTO,23,Salmos 116:12-19
AGOSTO,26,Salmos 117
AGOSTO,27,Salmos 118:1-9
AGOSTO,28,Salmos 118:10-24
AGOSTO,29,Salmos 118:25-29 Salmos 119:1-16
AGOSTO,30,Salmos 119:17-32
SETEMBRO,02,Salmos 119:33-48
SETEMBRO,03,Salmos 119:49-64
SETEMBRO,04,Salmos 119:65-80
SETEMBRO,05,Salmos 119:81-96
SETEMBRO,06,Salmos 119:97-112
SETEMBRO,09,Salmos 119:113-128
SETEMBRO,10,Salmos 119:129-144
SETEMBRO,11,Salmos 119:145-160
SETEMBRO,12,Salmos 119:161-168
SETEMBRO,13,Salmos 119:169-176
SETEMBRO,16,Salmos 120
SETEMBRO,17,Salmos 121
SETEMBRO,18,Salmos 122
SETEMBRO,19,Salmos 123
SETEMBRO,20,Salmos 123
SETEMBRO,23,Salmos 124
SETEMBRO,24,Salmos 125
SETEMBRO,25,Salmos 126
SETEMBRO,26,Salmos 127
SETEMBRO,27,Salmos 128
SETEMBRO,30,Salmos 129
OUTUBRO,01,Salmos 130
OUTUBRO,02,Salmos 131
OUTUBRO,03,Salmos 132:1-10
OUTUBRO,04,Salmos 132:11-18
OUTUBRO,07,Salmos 133
OUTUBRO,08,Salmos 134
OUTUBRO,09,Salmos 135:1-12
OUTUBRO,10,Salmos 135:13-21
OUTUBRO,11,Salmos 136:1-9
OUTUBRO,14,Salmos 136:10-16
OUTUBRO,15,Salmos 136:17-26
OUTUBRO,16,Salmos 137
OUTUBRO,17,Salmos 138
OUTUBRO,18,Salmos 139:1-6
OUTUBRO,21,Salmos 139:7-16
OUTUBRO,22,Salmos 139:17-24
OUTUBRO,23,Salmos 140
OUTUBRO,24,Salmos 141
OUTUBRO,25,Salmos 142
OUTUBRO,28,Salmos 143
OUTUBRO,29,Salmos 144
OUTUBRO,30,Salmos 145
OUTUBRO,31,Salmos 146
NOVEMBRO,01,Salmos 147
NOVEMBRO,04,Salmos 148
NOVEMBRO,05,Salmos 149
NOVEMBRO,06,Salmos 150
NOVEMBRO,07,Provérbios 1
NOVEMBRO,08,Provérbios 02
NOVEMBRO,11,Provérbios 03
NOVEMBRO,12,Provérbios 04
NOVEMBRO,13,Provérbios 05
NOVEMBRO,14,Provérbios 06
NOVEMBRO,15,Provérbios 07
NOVEMBRO,18,Provérbios 08
NOVEMBRO,19,Provérbios 09
NOVEMBRO,20,Provérbios 10
NOVEMBRO,21,Provérbios 11
NOVEMBRO,22,Provérbios 12
NOVEMBRO,25,Provérbios 13
NOVEMBRO,26,Provérbios 14
NOVEMBRO,27,Provérbios 15
NOVEMBRO,28,Provérbios 16
NOVEMBRO,29,Provérbios 17
DEZEMBRO,02,Provérbios 18
DEZEMBRO,03,Provérbios 19
DEZEMBRO,04,Provérbios 20
DEZEMBRO,05,Provérbios 21
DEZEMBRO,06,Provérbios 22
DEZEMBRO,09,Provérbios 23
DEZEMBRO,10,Provérbios 24
DEZEMBRO,11,Provérbios 25
DEZEMBRO,12,Provérbios 26
DEZEMBRO,13,Provérbios 27
DEZEMBRO,16,Provérbios 28
DEZEMBRO,17,Provérbios 29
DEZEMBRO,18,Provérbios 30
DEZEMBRO,19,Provérbios 31
