Mês,Dia,Leitura
JANEIRO,01,Salmos 1
JANEIRO,02,Salmos 2
JANEIRO,03,Salmos 3
JANEIRO,04,Salmos 4
JANEIRO,05,Salmos 5
JANEIRO,06,Salmos 6
JANEIRO,07,Salmos 7
JANEIRO,08,Salmos 8
JANEIRO,09,Salmos 9
JANEIRO,10,Salmos 10
JANEIRO,11,Salmos 11
JANEIRO,12,Salmos 12
JANEIRO,13,Salmos 13
JANEIRO,14,Salmos 14-15
JANEIRO,15,Salmos 16-17
JANEIRO,16,Salmos 18
JANEIRO,17,Salmos 19-20
JANEIRO,18,Salmos 21-22
JANEIRO,19,Salmos 23-24
JANEIRO,20,Salmos 25-26
JANEIRO,21,Salmos 27-28
JANEIRO,22,Salmos 29-30
JANEIRO,23,Salmos 31-32
JANEIRO,24,Salmos 33
JANEIRO,25,Salmos 34-35
JANEIRO,26,Salmos 36-37
JANEIRO,27,Salmos 38-39
JANEIRO,28,Salmos 40-41
JANEIRO,29,Salmos 42-43
JANEIRO,30,Salmos 44-45
JANEIRO,31,Salmos 46-47
FEVEREIRO,01,Salmos 48-49
FEVEREIRO,02,Salmos 50-51
FEVEREIRO,03,Salmos 52-53
FEVEREIRO,04,Salmos 54-55
FEVEREIRO,05,Salmos 56-57
FEVEREIRO,06,Salmos 58-59
FEVEREIRO,07,Salmos 60-61
FEVEREIRO,08,Salmos 62-63
FEVEREIRO,09,Salmos 64-65
FEVEREIRO,10,Salmos 66-67
FEVEREIRO,11,Salmos 68
FEVEREIRO,12,Salmos 69
FEVEREIRO,13,Salmos 70-71
FEVEREIRO,14,Salmos 72-73
FEVEREIRO,15,Salmos 74-75
FEVEREIRO,16,Salmos 76-77
FEVEREIRO,17,Salmos 78
FEVEREIRO,18,Salmos 79-80
FEVEREIRO,19,Salmos 81-82
FEVEREIRO,20,Salmos 83-84
FEVEREIRO,21,Salmos 85-86
FEVEREIRO,22,Salmos 87-88
FEVEREIRO,23,Salmos 89
FEVEREIRO,24,Salmos 90-91
FEVEREIRO,25,Salmos 92-93
FEVEREIRO,26,Salmos 94-95
FEVEREIRO,27,Salmos 96-97
FEVEREIRO,28,Salmos 98-99
MARCO,01,Salmos 100-101
MARCO,02,Salmos 102
MARCO,03,Salmos 103
MARCO,04,Salmos 104
MARCO,05,Salmos 105
MARCO,06,Salmos 106
MARCO,07,Salmos 107
MARCO,08,Salmos 108-109
MARCO,09,Salmos 110-111
MARCO,10,Salmos 112-113
MARCO,11,Salmos 114-115
MARCO,12,Salmos 116-117
MARCO,13,Salmos 118
MARCO,14,Salmos 119:1-48
MARCO,15,Salmos 119:49-104
MARCO,16,Salmos 119:105-176
MARCO,17,Salmos 120-121
MARCO,18,Salmos 122-123
MARCO,19,Salmos 124-125
MARCO,20,Salmos 126-127
MARCO,21,Salmos 128-129
MARCO,22,Salmos 130-131
MARCO,23,Salmos 132-133
MARCO,24,Salmos 134-135
MARCO,25,Salmos 136
MARCO,26,Salmos 137-138
MARCO,27,Salmos 139-140
MARCO,28,Salmos 141-142
MARCO,29,Salmos 143-144
MARCO,30,Salmos 145-146
MARCO,31,Salmos 147-148
ABRIL,01,Salmos 149-150
ABRIL,02,Provérbios 1-2
ABRIL,03,Provérbios 3-4
ABRIL,04,Provérbios 5-6
ABRIL,05,Provérbios 7-8
ABRIL,06,Provérbios 9-10
ABRIL,07,Provérbios 11-12
ABRIL,08,Provérbios 13-14
ABRIL,09,Provérbios 15-16
ABRIL,10,Provérbios 17-18
ABRIL,11,Provérbios 19-20
ABRIL,12,Provérbios 21-22
ABRIL,13,Provérbios 23-24
ABRIL,14,Provérbios 25-26
ABRIL,15,Provérbios 27-31
ABRIL,16,Mateus 1
ABRIL,17,Mateus 2
ABRIL,18,Mateus 3
ABRIL,19,Mateus 4
ABRIL,20,Mateus 5
ABRIL,21,Mateus 6
ABRIL,22,Mateus 7
ABRIL,23,Mateus 8
ABRIL,24,Mateus 9
ABRIL,25,Mateus 10
ABRIL,26,Mateus 11
ABRIL,27,Mateus 12
ABRIL,28,Mateus 13
ABRIL,29,Mateus 14
ABRIL,30,Mateus 15
MAIO,01,Mateus 16
MAIO,02,Mateus 17
MAIO,03,Mateus 18
MAIO,04,Mateus 19
MAIO,05,Mateus 20
MAIO,06,Mateus 21
MAIO,07,Mateus 22
MAIO,08,Mateus 23
MAIO,09,Mateus 24
MAIO,10,Mateus 25
MAIO,11,Mateus 26
MAIO,12,Mateus 27
MAIO,13,Mateus 28
MAIO,14,Marcos 1
MAIO,15,Marcos 2
MAIO,16,Marcos 3
MAIO,17,Marcos 4
MAIO,18,Marcos 5
MAIO,19,Marcos 6
MAIO,20,Marcos 7
MAIO,21,Marcos 8
MAIO,22,Marcos 9
MAIO,23,Marcos 10
MAIO,24,Marcos 11
MAIO,25,Marcos 12
MAIO,26,Marcos 13
MAIO,27,Marcos 14
MAIO,28,Marcos 15
MAIO,29,Marcos 16
MAIO,30,Lucas 1
MAIO,31,Lucas 2
JUNHO,01,Lucas 3
JUNHO,02,Lucas 4
JUNHO,03,Lucas 5
JUNHO,04,Lucas 6
JUNHO,05,Lucas 7
JUNHO,06,Lucas 8
JUNHO,07,Lucas 9
JUNHO,08,Lucas 10
JUNHO,09,Lucas 11
JUNHO,10,Lucas 12
JUNHO,11,Lucas 13
JUNHO,12,Lucas 14
JUNHO,13,Lucas 15
JUNHO,14,Lucas 16
JUNHO,15,Lucas 17
JUNHO,16,Lucas 18
JUNHO,17,Lucas 19
JUNHO,18,Lucas 20
JUNHO,19,Lucas 21
JUNHO,20,Lucas 22
JUNHO,21,Lucas 23
JUNHO,22,Lucas 24
JUNHO,23,João 1
JUNHO,24,João 2
JUNHO,25,João 3
JUNHO,26,João 4
JUNHO,27,João 5
JUNHO,28,João 6
JUNHO,29,João 7
JUNHO,30,João 8
JULHO,01,João 9
JULHO,02,João 10
JULHO,03,João 11
JULHO,04,João 12
JULHO,05,João 13
JULHO,06,João 14
JULHO,07,João 15
JULHO,08,João 16
JULHO,09,João 17
JULHO,10,João 18
JULHO,11,João 19
JULHO,12,João 20
JULHO,13,João 21
JULHO,14,Atos 1
JULHO,15,Atos 2
JULHO,16,Atos 3
JULHO,17,Atos 4
JULHO,18,Atos 5
JULHO,19,Atos 6
JULHO,20,Atos 7
JULHO,21,Atos 8
JULHO,22,Atos 9
JULHO,23,Atos 10
JULHO,24,Atos 11
JULHO,25,Atos 12
JULHO,26,Atos 13
JULHO,27,Atos 14
JULHO,28,Atos 15
JULHO,29,Atos 16
JULHO,30,Atos 17
JULHO,31,Atos 18
AGOSTO,01,Atos 19
AGOSTO,02,Atos 20
AGOSTO,03,Atos 21
AGOSTO,04,Atos 22
AGOSTO,05,Atos 23
AGOSTO,06,Atos 24
AGOSTO,07,Atos 25
AGOSTO,08,Atos 26
AGOSTO,09,Atos 27
AGOSTO,10,Atos 28
AGOSTO,11,Romanos 1
AGOSTO,12,Romanos 2
AGOSTO,13,Romanos 3
AGOSTO,14,Romanos 4
AGOSTO,15,Romanos 5
AGOSTO,16,Romanos 6
AGOSTO,17,Romanos 7
AGOSTO,18,Romanos 8
AGOSTO,19,Romanos 9
AGOSTO,20,Romanos 10
AGOSTO,21,Romanos 11
AGOSTO,22,Romanos 12
AGOSTO,23,Romanos 13
AGOSTO,24,Romanos 14
AGOSTO,25,Romanos 15
AGOSTO,26,Romanos 16
AGOSTO,27,1 Coríntios 1
AGOSTO,28,1 Coríntios 2
AGOSTO,29,1 Coríntios 3
AGOSTO,30,1 Coríntios 4
AGOSTO,31,1 Coríntios 5
SETEMBRO,01,1 Coríntios 6
SETEMBRO,02,1 Coríntios 7
SETEMBRO,03,1 Coríntios 8
SETEMBRO,04,1 Coríntios 9
SETEMBRO,05,1 Coríntios 10
SETEMBRO,06,1 Coríntios 11
SETEMBRO,07,1 Coríntios 12
SETEMBRO,08,1 Coríntios 13
SETEMBRO,09,1 Coríntios 14
SETEMBRO,10,1 Coríntios 15
SETEMBRO,11,1 Coríntios 16
SETEMBRO,12,2 Coríntios 1
SETEMBRO,13,2 Coríntios 2
SETEMBRO,14,2 Coríntios 3
SETEMBRO,15,2 Coríntios 4
SETEMBRO,16,2 Coríntios 5
SETEMBRO,17,2 Coríntios 6
SETEMBRO,18,2 Coríntios 7
SETEMBRO,19,2 Coríntios 8
SETEMBRO,20,2 Coríntios 9
SETEMBRO,21,2 Coríntios 10
SETEMBRO,22,2 Coríntios 11
SETEMBRO,23,2 Coríntios 12
SETEMBRO,24,2 Coríntios 13
SETEMBRO,25,Gálatas 1
SETEMBRO,26,Gálatas 2
SETEMBRO,27,Gálatas 3
SETEMBRO,28,Gálatas 4
SETEMBRO,29,Gálatas 5
SETEMBRO,30,Gálatas 6
OUTUBRO,01,Efésios 1
OUTUBRO,02,Efésios 2
OUTUBRO,03,Efésios 3
OUTUBRO,04,Efésios 4
OUTUBRO,05,Efésios 5
OUTUBRO,06,Efésios 6
OUTUBRO,07,Filipenses 1
OUTUBRO,08,Filipenses 2
OUTUBRO,09,Filipenses 3
OUTUBRO,10,Filipenses 4
OUTUBRO,11,Colossenses 1
OUTUBRO,12,Colossenses 2
OUTUBRO,13,Colossenses 3
OUTUBRO,14,Colossenses 4
OUTUBRO,15,1 Tessalonicenses 1
OUTUBRO,16,1 Tessalonicenses 2
OUTUBRO,17,1 Tessalonicenses 3
OUTUBRO,18,1 Tessalonicenses 4
OUTUBRO,19,1 Tessalonicenses 5
OUTUBRO,20,2 Tessalonicenses 1
OUTUBRO,21,2 Tessalonicenses 2
OUTUBRO,22,2 Tessalonicenses 3
OUTUBRO,23,1 Timóteo 1
OUTUBRO,24,1 Timóteo 2
OUTUBRO,25,1 Timóteo 3
OUTUBRO,26,1 Timóteo 4
OUTUBRO,27,1 Timóteo 5
OUTUBRO,28,1 Timóteo 6
OUTUBRO,29,2 Timóteo 1
OUTUBRO,30,2 Timóteo 2
OUTUBRO,31,2 Timóteo 3
NOVEMBRO,01,2 Timóteo 4
NOVEMBRO,02,Tito 1
NOVEMBRO,03,Tito 2
NOVEMBRO,04,Tito 3
NOVEMBRO,05,Filemon 1
NOVEMBRO,06,Hebreus 1
NOVEMBRO,07,Hebreus 2
NOVEMBRO,08,Hebreus 3
NOVEMBRO,09,Hebreus 4
NOVEMBRO,10,Hebreus 5
NOVEMBRO,11,Hebreus 6
NOVEMBRO,12,Hebreus 7
NOVEMBRO,13,Hebreus 8
NOVEMBRO,14,Hebreus 9
NOVEMBRO,15,Hebreus 10
NOVEMBRO,16,Hebreus 11
NOVEMBRO,17,Hebreus 12
NOVEMBRO,18,Hebreus 13
NOVEMBRO,19,Tiago 1
NOVEMBRO,20,Tiago 2
NOVEMBRO,21,Tiago 3
NOVEMBRO,22,Tiago 4
NOVEMBRO,23,Tiago 5
