Dia;Versículo;Referência
1;Tudo posso Naquele que me fortalece.;Filipenses 4:13
2;Confie no Senhor de todo o seu coração e não se apoie em seu próprio entendimento.;Provérbios 3:5
3;O Senhor é o meu pastor; de nada terei falta.;Salmo 23:1
4;Entrega o teu caminho ao Senhor; confia nele, e ele tudo fará.;Salmo 37:5
5;Portanto, não se preocupem com o amanhã, pois o amanhã trará as suas próprias preocupações. Basta a cada dia o seu próprio mal.;Mateus 6:34
6;Porque a sua ira dura só um momento, mas o seu favor dura a vida toda; o choro pode persistir uma noite, mas de manhã irrompe a alegria.;Salmo 30:5
7;Não te deixes vencer pelo mal, mas vence o mal com o bem.;Romanos 12:21
8;O amor é paciente, o amor é bondoso. Não inveja, não se vangloria, não se orgulha.;1 Coríntios 13:4
9;Alegrem-se sempre no Senhor. Novamente direi: Alegrem-se!;Filipenses 4:4
10;Mas, buscai primeiro o reino de Deus, e a sua justiça, e todas estas coisas vos serão acrescentadas.;Mateus 6:33
11;Tudo o que fizerem, façam de todo o coração, como para o Senhor, e não para os homens.;Colossenses 3:23
12;No mundo tereis aflições, mas tende bom ânimo, eu venci o mundo.;João 16:33
13;Aquele que habita no esconderijo do Altíssimo, à sombra do Onipotente descansará.;Salmo 91:1
14;O Senhor te abençoe e te guarde.;Números 6:24
15;Não se aparte da tua boca o livro desta lei; antes medita nele dia e noite, para que tenhas cuidado de fazer conforme a tudo quanto nele está escrito; porque então farás prosperar o teu caminho, e então prudentemente te conduzirás.;Josué 1:8
16;A esperança não decepciona, porque Deus derramou seu amor em nossos corações, por meio do Espírito Santo que ele nos concedeu.;Romanos 5:5
17;Os planos bem elaborados levam à fartura, mas o apressado sempre acaba na miséria.;Provérbios 21:5
18;Lança o teu pão sobre as águas, porque depois de muitos dias o acharás.;Eclesiastes 11:1
19;Não fui eu que ordenei a você? Seja forte e corajoso! Não se apavore nem desanime, pois o Senhor, o seu Deus, estará com você por onde você andar.;Josué 1:9
20;Deus é o nosso refúgio e a nossa força, socorro que não falta em tempos de aflição.;Salmo 46:1
21;Porquanto, ainda que a figueira não floresça, nem haja fruto na vide; ainda que decepcione o produto da oliveira, e os campos não produzam mantimento; ainda que as ovelhas da malhada sejam arrebatadas, e nos currais não haja gado; Todavia eu me alegrarei no Senhor; exultarei no Deus da minha salvação.;Habacuque 3:17-18
22;E sabemos que todas as coisas contribuem juntamente para o bem daqueles que amam a Deus, daqueles que são chamados segundo o seu propósito.;Romanos 8:28
23;Não se esqueçam de fazer o bem e de repartir com os outros o que vocês têm, pois de tais sacrifícios Deus se agrada.;Hebreus 13:16
24;Mas os que esperam no Senhor renovarão as suas forças. Subirão com asas como águias; correrão e não se cansarão, caminharão e não se fatigarão.;Isaías 40:31
25;Porque Deus amou o mundo de tal maneira que deu o seu Filho unigênito, para que todo aquele que nele crê não pereça, mas tenha a vida eterna.;João 3:16
26;Pois o salário do pecado é a morte, mas o presente gratuito de Deus é a vida eterna em Cristo Jesus, nosso Senhor.;Romanos 6:23
27;Porque onde estiver o vosso tesouro, aí estará também o vosso coração.;Mateus 6:21
28;Pois vocês são salvos pela graça, por meio da fé, e isto não vem de vocês, é dom de Deus.;Efésios 2:8
29;As misericórdias do Senhor são a causa de não sermos consumidos, porque as suas misericórdias não têm fim. Novas são a cada manhã. Grande é a tua fidelidade.;Lamentações 3:22-23
30;Sede fortes e corajosos. Não temais, nem vos atemorizeis diante deles; porque o Senhor vosso Deus é quem vai convosco. Não vos deixará, nem vos desamparará.;Deuteronômio 31:6
31;Não se perturbe o vosso coração. Crede em Deus, crede também em mim.;João 14:1
32;O que é nascido de Deus vence o mundo; e esta é a vitória que vence o mundo: a nossa fé.;1 João 5:4
33;Portanto, se alguém está em Cristo, é nova criação. As coisas antigas já passaram; eis que surgiram coisas novas!;2 Coríntios 5:17
34;Lançai sobre ele toda a vossa ansiedade, porque ele tem cuidado de vós.;1 Pedro 5:7
35;O coração em paz dá vida ao corpo, mas a inveja apodrece os ossos.;Provérbios 14:30
36;Alegrai-vos na esperança, sede pacientes na tribulação, perseverai na oração.;Romanos 12:12
37;Pois o Senhor, o seu Deus, está com vocês; ele é poderoso para salvar. Ele terá prazer em vocês, com o seu amor os renovará e com canções de alegria se regozijará.;Sofonias 3:17
38;O temor do Senhor é o princípio da sabedoria, e o conhecimento do Santo é entendimento.;Provérbios 9:10
39;Pois onde estiver o seu tesouro, aí também estará o seu coração.;Mateus 6:21
40;Ensina-nos a contar os nossos dias, para que alcancemos um coração sábio.;Salmo 90:12
41;Melhor é o pouco com o temor do Senhor do que grandes tesouros onde há inquietação.;Provérbios 15:16
42;Busquei o Senhor, e ele me respondeu; livrou-me de todos os meus temores.;Salmo 34:4
43;Se confessarmos os nossos pecados, ele é fiel e justo para nos perdoar os pecados e nos purificar de toda injustiça.;1 João 1:9
44;Deus é amor.;1 João 4:8
45;Tende bom ânimo, eu venci o mundo.;João 16:33
